FLOOR INDEX, FOOTPRINT TYPE, FLOOR TYPE, FLOOR VALUE, FLOOR COST, UNIT TYPE, UNIT VALUE, UNIT VISIBILITY 
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
0,T1,11111111V1,183960.0,76800.0,1BED,22995.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
1,T1,11111111V1,187920.0,78600.0,1BED,23490.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
2,T1,11111111V1,191880.0,80400.0,1BED,23985.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
3,T1,11111111V1,195840.0,82200.0,1BED,24480.0,0.0
4,T1,2111111V3,233100.0,84000.0,2BED,83250.0,0.0
4,T1,2111111V3,233100.0,84000.0,1BED,24975.0,0.0
4,T1,2111111V3,233100.0,84000.0,1BED,24975.0,0.0
4,T1,2111111V3,233100.0,84000.0,1BED,24975.0,0.0
4,T1,2111111V3,233100.0,84000.0,1BED,24975.0,0.0
4,T1,2111111V3,233100.0,84000.0,1BED,24975.0,0.0
4,T1,2111111V3,233100.0,84000.0,1BED,24975.0,0.0
5,T1,2111111V2,237720.0,85800.0,1BED,25470.0,0.0
5,T1,2111111V2,237720.0,85800.0,1BED,25470.0,0.0
5,T1,2111111V2,237720.0,85800.0,1BED,25470.0,0.0
5,T1,2111111V2,237720.0,85800.0,1BED,25470.0,0.0
5,T1,2111111V2,237720.0,85800.0,1BED,25470.0,0.0
5,T1,2111111V2,237720.0,85800.0,1BED,25470.0,0.0
5,T1,2111111V2,237720.0,85800.0,2BED,84900.0,0.0
6,T1,2111111V1,242340.0,87600.0,1BED,25965.0,0.0
6,T1,2111111V1,242340.0,87600.0,1BED,25965.0,0.0
6,T1,2111111V1,242340.0,87600.0,1BED,25965.0,0.0
6,T1,2111111V1,242340.0,87600.0,1BED,25965.0,0.0
6,T1,2111111V1,242340.0,87600.0,1BED,25965.0,0.0
6,T1,2111111V1,242340.0,87600.0,1BED,25965.0,0.0
6,T1,2111111V1,242340.0,87600.0,2BED,86550.0,0.0
7,T1,2111111V3,246960.0,89400.0,2BED,88200.0,0.0
7,T1,2111111V3,246960.0,89400.0,1BED,26460.0,0.0
7,T1,2111111V3,246960.0,89400.0,1BED,26460.0,0.0
7,T1,2111111V3,246960.0,89400.0,1BED,26460.0,0.0
7,T1,2111111V3,246960.0,89400.0,1BED,26460.0,0.0
