footprintIndex, floorIndex, footprintType, floorplateType
0,0,T1,33V1
0,1,T1,33V1
0,2,T1,33V1
0,3,T1,33V1
0,4,T1,33V1
0,5,T1,33V1
0,6,T1,33V1
0,7,T1,33V1
0,8,T1,33V1
0,9,T1,33V1
0,10,T1,33V1
0,11,T1,33V1
0,12,T1,33V1
0,13,T1,33V1
0,14,T1,33V1
0,15,T1,33V1
0,16,T1,33V1
0,17,T1,33V1
0,18,T1,33V1
0,19,T1,33V1
0,20,T1,33V1
0,21,T1,33V1
0,22,T1,33V1
0,23,T1,33V1
0,24,T1,33V1
0,25,T1,33V1
0,26,T1,33V1
0,27,T1,33V1
0,28,T1,33V1
0,29,T1,33V1
0,30,T1,33V1
0,31,T1,33V1
0,32,T1,33V1
0,33,T1,33V1
0,34,T1,33V1
0,35,T1,33V1
0,36,T1,33V1
0,37,T1,33V1
0,38,T1,33V1
0,39,T1,33V1
0,40,T1,33V1
0,41,T1,33V1
0,42,T1,33V1
0,43,T1,33V1
0,44,T1,33V1
0,45,T1,33V1
0,46,T1,33V1
0,47,T1,33V1
0,48,T1,33V1
0,49,T1,33V1
0,50,T1,2222
0,51,T1,2222
0,52,T1,2222
0,53,T1,2222
0,54,T1,2222
0,55,T1,2222
0,56,T1,2222
0,57,T1,2222
0,58,T1,2222
0,59,T1,2222
0,60,T1,2222
0,61,T1,2222
0,62,T1,2222
0,63,T1,2222
0,64,T1,2222
0,65,T1,2222
0,66,T1,2222
0,67,T1,2222
0,68,T1,2222
0,69,T1,2222
0,70,T1,2222
0,71,T1,2222
0,72,T1,2222
0,73,T1,2222
0,74,T1,2222
0,75,T1,11111111V1
0,76,T1,11111111V1
0,77,T1,11111111V1
0,78,T1,11111111V1
0,79,T1,11111111V1
0,80,T1,11111111V1
0,81,T1,11111111V1
0,82,T1,11111111V1
0,83,T1,11111111V1
0,84,T1,11111111V1
0,85,T1,11111111V1
0,86,T1,11111111V1
